MONTH,DAY,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME
10,13,AA,1533,N3CNAA,13303,915,913
8,12,MQ,3673,N698MQ,DFW,1510,1507
6,4,OO,5478,N986SW,DEN,2215,2212
9,30,OO,4979,N693BR,DEN,2209,2200
1,22,AS,623,N403AS,SEA,2350,2346
3,4,US,684,N906AW,PHX,1115,1125
4,30,WN,2051,N457WN,FLL,2025,2017
8,31,WN,1545,N694SW,SFO,1555,1551
11,3,OO,6436,N766SK,PIT,1740,1742
7,3,AA,556,N912UY,MCO,735,729
1,19,WN,371,N7730A,PIT,930,922
5,12,MQ,3262,N652MQ,CLE,1522,1519
4,16,HA,29,N396HA,SEA,1025,1021
12,8,DL,1212,N595NW,HNL,2244,2241
7,27,UA,582,N413UA,ORD,2056,2130
7,27,AA,750,N717UW,DFW,1255,1249
4,6,DL,2524,N975AT,ATL,1505,1514
3,19,EV,5391,N716EV,MDW,1835,1832
10,2,AA,1825,N944UW,14100,1800,2010
8,28,AA,1745,N755US,RDU,1440,1436
8,20,WN,463,N723SW,ATL,1230,1250
9,30,UA,1188,N24715,EWR,1659,1652
4,14,WN,731,N528SW,AUS,1825,1822
12,2,UA,392,N39418,PDX,545,659
7,27,WN,788,N949WN,HOU,750,750
2,16,UA,733,N412UA,DEN,1433,1448
6,5,DL,860,N900DE,ATL,1241,1240
3,11,WN,4735,N203WN,SMF,1210,1219
12,8,WN,167,N7752B,LAS,1525,1521
3,18,AA,1330,N505AA,DFW,1855,1851
2,5,WN,2058,N528SW,DAL,2010,2002
12,2,DL,1918,N661DN,SNA,825,821
8,28,DL,653,N951AT,ATL,1120,1117
7,15,B6,1816,N294JB,JFK,2245,3
9,24,WN,104,N795SW,ALB,730,730
12,11,DL,2513,N985AT,MSN,1216,1211
9,15,DL,410,N359NW,MSP,1342,1338
1,12,WN,211,N914WN,DCA,800,NA
5,1,US,1853,N189UW,CLT,955,950
3,26,WN,3317,N383SW,IND,1700,1701
2,4,DL,1530,N962DN,LAS,919,925
2,17,WN,2217,N223WN,SAN,1340,1422
8,27,WN,2951,N236WN,IND,1250,1249
5,10,UA,326,N415UA,ORD,830,930
8,28,OO,5464,N952SW,LAR,611,602
5,24,US,1918,N949UW,IAH,1725,1732
7,13,AA,2485,N855AA,DFW,1150,1156
8,1,OO,4755,N817SK,PHX,745,738
2,8,AA,372,N4XBAA,DFW,1305,1305
3,24,AA,1555,N023AA,DFW,2040,2204
8,1,WN,2002,N779SW,LAX,1510,1525
1,24,WN,2974,N945WN,LAX,1145,1151
6,15,EV,5019,N135EV,LEX,625,620
6,14,WN,568,N8302F,MDW,1835,2054
6,22,AS,461,N468AS,LAX,1840,1839
3,21,AA,249,N528AA,DFW,951,947
11,30,DL,1713,N945DL,MLB,1746,1743
11,21,UA,382,N37409,ORD,1615,1955
5,9,MQ,3144,N603MQ,ORD,845,844
12,30,AA,184,N3HYAA,DFW,1545,1606
5,7,AA,62,N022AA,IAH,1220,1216
12,31,WN,1505,N796SW,DAL,935,932
2,24,UA,1424,N27421,SFO,1301,1303
4,1,AA,1329,N508AA,DFW,1030,1101
5,27,WN,153,N7811F,SMF,615,613
12,14,DL,1962,N946DN,PHL,1240,1352
10,31,UA,1750,N68843,14679,1319,1310
7,11,WN,2229,N8670A,MDW,1315,1313
12,6,B6,2689,N746JB,LAS,1940,2145
10,15,B6,5,N524JB,11618,730,724
8,14,OO,6390,N113SY,MCI,1711,1716
4,22,MQ,3349,N845MQ,CLE,1126,1129
1,15,DL,1217,N136DL,DTW,1755,1757
10,19,B6,81,N570JB,12478,2000,2001
10,31,AA,1965,N162UW,12892,40,36
4,29,F9,901,N902FR,ATL,855,849
2,28,WN,3743,N261WN,MCO,1045,1040
2,20,OO,6310,N567SW,LAX,1604,1603
7,1,AA,1961,N102UW,MSY,730,727
1,2,EV,5936,N18102,ISN,810,800
1,23,UA,1059,N17719,ORD,1814,1833
3,16,WN,2591,N357SW,PHX,2105,2152
2,26,OO,6529,N715SK,DFW,855,854
9,29,WN,200,N915WN,LAS,1230,1228
10,25,WN,2089,N643SW,14635,1230,1239
4,15,B6,623,N937JB,JFK,2110,2105
10,1,B6,505,N556JB,11618,1330,1328
4,18,WN,1650,N405WN,STL,2000,1950
11,19,OO,3488,N224AG,PDX,1815,1812
8,3,WN,4293,N204WN,MCO,645,751
5,18,OO,6516,N762SK,IAH,1442,1449
10,6,UA,1669,N66803,12892,930,938
6,21,US,1721,N582UW,CLT,1710,1753
1,5,DL,2340,N3755D,SEA,942,942
2,27,WN,780,N915WN,LIT,850,848
4,1,AS,62,N791AS,ANC,800,812
10,11,WN,441,N436WN,13232,1945,1956
12,19,F9,402,N213FR,LAX,1810,1807
4,8,EV,5525,N854AS,MLI,1630,1639
